id,project_name,site_name,country,latitude,longitude,raw_year,year,outbreak,outbreak__color
1.IN2k_970754,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN2l_D1991004,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN2m_D1964002b,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN2n_CMCC02041,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN2o_CMCC03001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN2p_D1982001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN2q_D1964001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN3a_F1954001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN3b_E1979001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN3c_CMCC84038b,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN3d_YN1683,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN3e_YN472,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN3f_YN1065,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN3g_E1977001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN3h_CMCC84033,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN3i_CMCC84046,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.ORI1_CA88,Auerbach2007,NA,usa,39.7837304,-100.4458824,2021,0,Modern,Red
1.ORI1_CO92,Parkhill2001,NA,usa,39.7837304,-100.4458824,2021,0,Modern,Red
1.ORI1a_CMCC114001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.ORI1b_India195,Plunkett2009,NA,india,22.3511148,78.6677428,2021,0,Modern,Red
1.ORI1c_F1946001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.ORI2_F1991016,Eppinger2009,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.ORI2a_YN2179,Cui2013,NA,myanmar,21,96,2021,0,Modern,Red
1.ORI2c_YN2551b,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.ORI2d_YN2588,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.ORI2f_CMCC87001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.ORI2g_F1984001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.ORI2h_YN663,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.ORI2i_CMCCK100001a,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.ORI2i_CMCCK110001b,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.ORI3_IP275,Morelli2010,NA,madagascar,-20,47,2021,0,Modern,Red
1.ORI3_MG05-1020,Morelli2010,NA,madagascar,-20,47,2021,0,Modern,Red
1.ORI3a_EV76,Cui2013,NA,madagascar,-20,47,2021,0,Modern,Red
2.ANT1_Nepal516,Chain2006,NA,nepal,28,84,2021,0,Modern,Red
2.ANT1a_34008,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.ANT1b_34202,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.ANT2a_2,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.ANT2b_351001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.ANT2c_CMCC347001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.ANT2d_G1996006,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.ANT2e_G1996010,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.ANT2f_CMCC348002,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.ANT3_KM682,Kutyrev2018,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
2.ANT3a_CMCC92010,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.ANT3b_CMCC95001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.ANT3c_CMCC96001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.ANT3d_CMCC96007,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.ANT3e_CMCC67001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.ANT3f_CMCC104003,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.ANT3g_CMCC51020,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.ANT3h_CMCC106002,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.ANT3i_CMCC64001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.ANT3j_H1959004,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.ANT3k_5761,Cui2013,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
2.ANT3l_735,Cui2013,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
2.MED0_C-627,Kutyrev2018,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
2.MED1_1045,Zhgenti2015,NA,azerbaijan,40.37767,49.89201,2021,0,Modern,Red
2.MED1_1116-D,Kutyrev2018,NA,unknown,0,0,2021,0,Modern,Red
2.MED1_1240,Kutyrev2018,NA,azerbaijan,40.37767,49.89201,2021,0,Modern,Red
2.MED1_139,Kutyrev2018,NA,kazakhstan,47.2286086,65.2093197,2021,0,Modern,Red
2.MED1_173,Kutyrev2018,NA,kazakhstan,47.2286086,65.2093197,2021,0,Modern,Red
2.MED1_1906,Kutyrev2018,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
2.MED1_244,Kutyrev2018,NA,kazakhstan,47.2286086,65.2093197,2021,0,Modern,Red
2.MED1_261,Kutyrev2018,NA,azerbaijan,40.37767,49.89201,2021,0,Modern,Red
2.MED1_2944,Zhgenti2015,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
2.MED1_44,Kutyrev2018,NA,azerbaijan,40.37767,49.89201,2021,0,Modern,Red
2.MED1_A-1763,Kutyrev2018,NA,kazakhstan,47.2286086,65.2093197,2021,0,Modern,Red
2.MED1_A-1809,Eroshenko2017,NA,kyrgyzstan,41.5,75,2021,0,Modern,Red
2.MED1_A-1825,Kutyrev2018,NA,unknown,0,0,2021,0,Modern,Red
2.MED1_A-1920,Kutyrev2018,NA,kazakhstan,47.2286086,65.2093197,2021,0,Modern,Red
2.MED1_C-791,Kutyrev2018,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
2.MED1_K1973002,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
2.MED1_KIM10,Deng2002,NA,iran,32,53,2021,0,Modern,Red
2.MED1_KM816,Kutyrev2018,NA,turkmenistan,39.3763807,59.3924609,2021,0,Modern,Red
2.MED1_KM918,Kutyrev2018,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
2.MED1_M-1448,Kutyrev2018,NA,kazakhstan,47.2286086,65.2093197,2021,0,Modern,Red
